0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
1	1	253	16	127	419	218	181	2325	233
12	70	294	221	2330	688	1573	356	4	654
62	276	36	182	352	1103	632	451	2	424
255	76	2	538	811	65	571	146	340	0
3	1	811	790	152	15	2437	398	809	309
1	732	129	751	140	30	7	898	873	735
2	248	64	314	763	5	121	80	633	310
468	3	7	108	280	456	314	610	1142	237
52	14	237	794	10	41	57	131	1752	922
4	239	226	378	9	3	787	1045	1195	1054
0	5	570	84	449	341	431	1746	893	4
3	25	28	311	3	35	307	901	729	158
380	249	222	575	341	698	939	1929	889	1292
0	228	593	265	11	274	255	12	453	2639
98	23	10	184	38	486	287	221	570	755
23	633	4	217	577	170	9	1613	696	488
50	37	351	439	355	5	752	381	516	1524
4	24	111	289	590	50	409	785	730	203
364	17	27	488	601	334	51	524	891	341
1	0	101	5	415	233	1368	8	345	1223
190	0	95	212	242	1319	8	1185	30	363
30	2	371	459	475	608	359	408	986	87
335	526	16	44	696	5	15	5	1238	1009
12	78	3	15	387	664	696	1	2	801
81	364	114	109	373	21	356	1186	2	672
8	66	890	24	31	132	522	639	660	10
71	0	387	36	825	822	815	250	533	360
2	4	0	214	11	403	36	806	397	3799
4	262	368	195	65	481	748	767	209	39
30	11	3	397	136	564	1144	243	454	662
1	296	300	29	385	269	96	277	252	924
0	0	983	615	11	45	847	765	491	2
4	0	694	54	182	214	5	65	1559	642
220	498	361	114	35	8	480	92	517	359
294	662	649	388	123	267	444	247	504	342
30	1267	5	6	198	4	867	1409	822	1764
489	744	475	22	219	208	495	6	294	766
3	287	7	2	161	5	417	1229	33	382
1	210	2	455	97	974	1894	371	776	1301
3	65	21	357	17	76	323	823	2277	1606
6	69	60	515	51	218	138	954	818	151
2	333	356	266	338	1028	7	640	479	265
217	318	0	342	131	808	547	1217	880	671
540	89	0	337	281	4	76	583	78	1112
604	246	54	58	68	422	673	733	467	305
328	245	23	35	210	196	333	6	1138	861
0	4	9	306	899	254	314	7	430	1202
8	161	152	467	211	483	945	836	757	280
28	407	5	2	506	3	1147	895	98	557
3	436	463	8	34	53	21	490	1807	119
1	555	93	359	17	1079	4	119	576	785
1	17	292	798	482	589	1639	170	650	1441
5	11	326	1412	241	724	38	16	1029	1219
453	26	382	451	260	319	21	5	3	241
105	1	4	0	312	903	269	561	154	642
0	20	1	2	963	527	25	104	438	341
42	3	419	396	334	30	523	579	7	572
528	396	324	58	335	683	435	1619	6	916
9	59	282	178	673	897	485	353	79	651
5	140	20	0	7	384	1508	268	624	4
347	590	3	520	695	436	54	883	497	1161
9	309	210	37	152	417	464	626	51	691
253	75	557	357	131	362	4	171	253	840
0	221	194	342	93	1086	201	600	1	2793
1	227	346	37	49	536	103	1240	915	542
42	20	475	393	8	1409	467	197	8	684
94	204	511	444	302	41	636	441	165	3
51	180	123	349	732	448	30	213	1384	1536
543	78	17	337	154	670	703	522	320	195
19	301	33	149	659	310	1859	150	727	350
4	12	3	192	1035	447	111	217	378	1180
327	129	1066	178	163	113	735	246	436	1022
263	111	461	20	1969	271	919	1038	120	182
196	8	953	0	583	26	69	416	145	9
1	248	508	1074	431	620	717	431	585	725
171	170	62	5	18	1426	3	398	1468	1616
15	176	6	272	17	903	406	65	518	1137
11	26	121	98	411	95	575	389	122	875
7	165	43	244	527	418	1031	597	489	447
0	325	359	53	10	1675	4	96	340	1876
7	28	488	33	671	345	695	628	3468	98
2	344	87	63	295	666	638	994	2881	1422
130	210	877	669	425	755	8	424	282	648
0	189	389	140	352	939	49	85	478	1254
202	426	206	391	595	26	29	450	666	2056
8	15	268	76	10	874	2539	2900	899	904
3	245	171	186	51	682	297	1133	679	62
276	22	4	475	1596	345	700	11	628	855
3	126	261	141	1066	45	605	1599	466	1204
127	16	23	93	47	609	431	672	1122	1101
6	14	280	7	184	551	160	84	1304	334
12	89	434	711	9	48	666	2257	613	21
10	391	49	396	626	1168	1315	683	315	686
144	266	282	260	132	521	1414	1237	628	964
2	4	938	4	569	26	5	258	9	565
21	2	41	4	709	48	966	1102	246	89
152	469	17	291	544	397	266	754	1081	886
287	76	16	502	56	2	2063	95	735	9
