0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
16	1	1	2847	4	15	536	696	311	839
10	15	501	356	324	1026	153	818	854	282
5	277	249	475	305	1105	446	133	867	927
159	12	28	252	17	325	825	190	127	809
49	29	274	23	19	2	22	1554	298	379
19	220	25	119	205	159	694	429	27	598
5	432	281	655	95	122	197	4089	271	583
2	3	165	602	891	434	524	559	497	595
1	35	239	301	302	4	457	1101	19	897
149	120	23	143	310	530	4	267	123	38
4	32	244	17	408	396	28	988	111	190
1	1	241	149	53	798	3	700	1157	648
10	962	117	164	311	828	213	662	364	624
64	233	784	860	135	564	583	1178	467	425
26	19	8	14	140	131	457	127	48	422
17	1	0	257	606	183	153	480	530	1216
30	2	381	39	81	8	3	607	933	608
15	1	701	418	259	386	688	250	439	451
314	0	887	336	158	276	937	761	706	1123
84	124	546	190	32	912	427	576	808	1566
84	1	204	383	362	1244	425	1278	947	2714
463	10	1137	5	394	167	522	492	6	574
3	131	319	7	595	735	225	711	1001	72
317	7	1	269	345	2358	743	673	286	1020
1	212	428	97	767	38	1149	74	1867	711
276	100	695	314	129	20	472	4	400	1407
10	2	394	4	389	498	630	88	884	462
117	81	9	540	194	456	606	396	1187	667
22	5	3	3	592	644	648	492	1	629
0	1	245	576	361	178	466	787	1066	568
0	440	0	265	999	880	549	672	732	48
2	242	558	354	422	99	73	325	346	567
134	88	9	1751	28	169	604	241	677	659
3	564	344	476	324	1	163	517	1170	909
5	0	0	22	36	30	78	2589	623	742
6	83	585	296	317	433	830	958	449	1026
1	417	13	0	561	2202	494	2140	1606	3481
2	0	3	40	698	497	658	489	226	827
165	5	508	40	4	7	7	297	203	564
192	9	35	0	856	3244	162	960	1138	1246
35	8	7	204	12	203	1371	578	277	727
18	183	399	177	71	39	645	8	37	114
5	2	15	491	210	1373	168	318	444	890
9	2	980	286	1	0	492	1834	309	691
7	431	467	400	12	30	569	46	885	1389
4	55	198	780	124	380	128	1181	767	832
8	1	166	345	239	381	0	1177	3711	591
2	23	0	515	56	6	499	1835	1233	1388
35	137	224	1270	461	551	461	5	1659	544
158	367	24	228	763	0	261	739	552	106
45	689	11	630	384	9	529	877	9	1048
0	26	581	366	15	358	183	52	658	454
85	18	136	233	452	28	660	1749	682	621
2	3	119	28	600	49	533	467	1170	497
17	0	15	131	49	12	371	1062	540	240
0	441	48	67	89	876	441	595	1223	1568
6	223	535	597	89	699	338	189	7	457
3	65	157	500	286	354	20	131	794	5
142	248	5	243	638	547	204	601	245	696
106	16	186	12	1412	17	922	599	545	185
61	11	32	117	603	368	147	179	320	1360
465	0	13	296	22	529	343	186	940	601
2	9	23	513	396	23	3	8	523	446
0	1	17	963	4	175	775	493	1436	315
0	526	42	2	2	629	1628	179	897	674
2	102	255	555	225	5	470	73	453	558
317	196	333	255	181	450	851	998	1003	43
131	12	1494	30	361	404	1585	264	1415	473
283	210	61	296	1013	378	370	461	516	205
351	74	333	71	31	385	364	171	388	345
0	20	344	25	2	269	222	1161	1062	904
98	51	8	3	1030	130	141	291	5	208
2	4	204	30	8	128	476	447	724	986
