1 Sq Mi	2 Sq Mi	3 Sq Mi	4 Sq Mi	5 Sq Mi	6 Sq Mi	7 Sq Mi	8 Sq Mi	9 Sq Mi	10 Sq Mi
139	105	102	207	227	220	845	411	0	235
112	267	536	277	435	227	445	357	287	232
101	237	612	127	230	520	934	110	386	459
127	273	207	469	109	221	267	573	126	219
254	136	302	218	222	448	114	560	557	103
0	262	115	232	0	114	330	487	470	116
298	160	108	211	515	361	0	626	1102	126
237	297	360	211	353	549	368	455	106	654
107	225	225	698	250	237	350	373	259	229
142	104	108	0	329	563	409	359	233	117
116	248	549	115	0	440	100	116	0	106
156	228	349	126	103	337	432	664	111	737
109	373	229	238	397	212	553	381	668	362
242	0	209	648	235	640	283	242	778	296
234	128	103	249	565	111	232	819	134	910
141	0	426	237	290	703	410	661	397	1095
318	109	117	204	322	372	101	418	222	355
106	350	720	471	445	325	361	261	238	509
245	115	855	236	239	351	316	464	241	104
300	413	121	461	212	278	530	346	211	701
284	391	187	114	113	278	136	126	544	406
113	209	531	222	377	527	324	224	767	451
0	223	231	308	420	320	430	109	212	632
111	310	330	342	104	107	126	323	226	416
187	110	231	118	641	356	506	345	448	1127
209	439	110	169	222	115	272	336	387	650
109	0	0	222	134	335	250	433	126	111
113	105	130	271	240	830	477	336	255	583
142	117	214	398	212	203	1106	121	107	671
380	0	332	105	109	558	273	739	332	0
115	366	432	126	190	498	230	109	523	231
318	268	485	340	133	676	105	213	664	499
482	213	337	108	314	404	454	347	482	513
295	115	280	410	485	117	330	320	337	592
163	142	314	283	335	352	229	177	111	376
207	637	136	189	0	392	701	392	0	1045
113	0	128	154	213	330	113	377	346	256
337	115	562	128	216	458	0	614	350	353
186	115	247	177	612	601	134	111	241	0
433	102	344	107	374	315	525	0	313	674
231	181	316	301	109	204	381	221	0	0
370	337	653	280	104	264	514	428	285	249
100	218	120	114	155	240	282	0	295	379
248	113	126	476	364	0	394	235	584	481
0	224	176	0	324	355	214	680	102	424
220	126	105	0	0	216	497	209	322	401
118	0	612	226	202	464	235	369	434	208
119	244	373	109	392	517	1034	128	444	225
207	179	291	303	147	136	795	0	314	580
111	368	428	528	409	296	515	231	587	336
502	307	209	438	460	780	101	177	455	707
0	356	140	0	187	216	548	690	208	306
114	111	101	199	222	108	233	232	0	660
122	227	323	105	102	445	811	405	101	630
0	160	209	847	328	155	741	104	471	232
106	228	260	646	728	518	196	127	430	233
0	0	0	396	107	247	108	102	572	461
238	309	104	211	532	231	248	229	582	476
347	252	261	247	525	212	206	115	231	125
135	0	128	334	336	256	225	546	697	589
101	0	146	118	111	491	811	210	586	481
114	130	0	307	113	103	586	471	307	341
0	106	101	404	230	635	108	831	250	330
536	291	126	773	235	788	222	502	126	320
214	229	222	110	367	263	141	225	227	548
121	359	432	379	442	121	115	374	327	105
245	322	258	781	240	443	201	634	126	233
128	211	418	904	451	667	316	481	440	583
446	0	0	345	126	0	162	432	115	314
0	126	542	0	653	443	552	367	947	300
104	332	111	103	107	412	1007	219	533	384
103	446	371	325	373	515	1110	357	428	263
110	115	316	226	550	282	100	114	527	584
519	229	110	187	111	392	362	699	266	309
115	428	0	237	437	309	662	107	382	237
