1 Sq Mi	2 Sq Mi	3 Sq Mi	4 Sq Mi	5 Sq Mi	6 Sq Mi	7 Sq Mi	8 Sq Mi	9 Sq Mi	10 Sq Mi
1	0	0	5	0	7	17	2	0	6
0	0	0	1	1	0	18	0	14	1
0	1	0	1	2	2	3	6	3	9
0	0	1	1	1	1	1	5	1	2
0	1	3	5	2	1	2	3	1	3
0	0	8	0	1	2	3	5	0	2
0	0	1	0	0	5	0	7	7	16
1	0	0	0	0	1	1	2	2	2
0	0	2	3	0	1	0	9	0	6
0	0	2	3	0	1	4	5	1	2
0	0	1	13	1	0	0	1	3	2
0	3	0	0	1	3	3	2	1	12
0	1	2	0	1	1	0	2	2	1
0	0	17	0	2	0	1	3	0	57
0	0	0	0	0	0	3	3	9	1
2	0	0	0	10	0	3	0	0	4
6	1	0	0	0	1	6	6	1	4
0	6	0	24	0	3	2	5	2	3
0	1	0	2	1	0	1	7	0	1
1	0	4	3	5	3	0	3	9	3
2	0	2	0	0	1	2	2	4	0
0	3	0	5	1	4	0	2	2	4
0	1	1	1	5	3	1	7	2	0
1	0	0	0	9	0	2	1	0	6
1	1	0	7	1	3	0	0	7	1
0	0	0	0	4	7	1	11	9	0
2	0	0	2	0	9	0	1	0	5
2	2	2	0	1	3	1	2	5	0
0	0	0	2	1	0	1	11	2	10
0	0	0	0	11	2	2	1	13	0
0	2	7	6	0	1	30	0	0	1
0	0	0	0	0	0	2	1	1	8
0	4	0	7	8	4	1	7	0	18
0	1	5	2	0	1	6	6	3	3
1	3	3	2	1	2	0	4	5	1
0	0	0	1	4	2	0	0	9	1
1	0	0	1	0	7	4	2	0	4
1	0	0	1	3	1	0	1	0	8
0	3	2	1	1	0	1	2	0	1
2	0	0	0	0	0	2	2	1	2
0	0	1	6	1	6	4	0	11	1
0	0	2	0	0	4	4	2	1	11
0	1	1	6	0	1	5	1	10	13
0	0	3	9	3	2	1	0	6	3
1	0	0	5	6	1	0	11	0	1
0	0	0	0	1	0	8	7	3	5
1	6	1	0	0	2	4	0	0	2
0	0	1	2	17	5	5	25	1	0
3	0	3	2	1	0	0	12	2	21
0	0	1	5	0	2	3	1	1	0
3	12	0	0	0	4	58	21	3	3
0	1	1	5	0	1	0	1	1	0
1	0	0	1	2	3	1	0	2	1
0	1	1	2	5	0	1	3	0	0
0	2	1	0	3	2	2	1	16	0
7	2	2	0	3	1	0	0	1	6
0	0	1	0	1	0	1	2	1	0
2	0	3	5	6	0	3	3	4	7
0	0	1	2	0	1	0	1	2	4
0	0	0	28	0	3	0	17	5	0
1	1	3	1	0	1	3	2	2	3
1	0	1	1	1	3	2	8	2	1
2	0	3	0	10	2	2	1	7	5
0	0	1	2	1	5	0	36	0	0
0	0	1	30	0	5	2	0	1	2
0	0	0	0	9	0	38	3	5	3
0	3	0	0	3	0	0	1	0	1
0	1	0	7	0	2	9	0	8	14
2	1	1	2	0	2	1	2	3	1
0	0	1	2	0	5	3	0	3	0
0	0	4	69	0	0	0	1	0	4
0	0	3	1	3	0	1	4	1	16
0	0	3	1	0	5	0	9	1	1
0	1	0	1	2	0	3	0	0	0
0	0	5	5	0	2	3	1	2	1
0	9	0	1	1	1	6	4	2	15
0	0	0	1	0	1	11	23	1	23
0	0	0	1	1	13	3	0	15	0
0	0	0	0	0	0	0	2	1	3
