0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
9	249	87	225	344	442	449	632	318	1742
0	169	0	469	194	850	5	1411	1059	731
36	137	1141	6	11	470	646	686	313	593
132	16	132	786	691	1804	258	1664	1851	661
327	17	300	32	282	493	486	1090	455	153
2	244	7	828	233	496	234	492	367	1145
1	235	43	15	292	25	642	1085	643	395
3	260	160	31	168	279	646	0	625	384
97	215	9	170	334	630	1045	4	230	646
2	20	63	412	170	277	9	107	31	22
0	39	380	6	599	326	86	578	1384	830
50	144	0	366	95	12	1062	1126	588	943
9	10	16	707	445	267	559	93	1415	2880
66	43	2	745	4	60	14	368	996	264
6	214	41	483	474	605	3	68	618	107
6	203	131	34	35	1	388	562	541	89
22	107	251	19	507	466	365	1291	8	507
14	85	99	133	513	365	33	3704	144	1240
10	88	30	220	359	645	82	344	305	383
6	352	89	1156	548	310	525	485	672	1974
27	14	163	1449	154	302	924	450	844	1520
1	714	182	29	209	74	318	761	1030	9
105	5	173	5	365	77	400	527	604	219
327	498	249	272	783	20	838	1022	407	686
116	9	184	211	43	2756	5	730	518	458
16	204	294	364	932	64	351	1893	364	515
97	114	416	108	8	549	64	56	738	955
3	265	80	528	205	537	776	444	785	715
5	170	397	219	80	332	655	1213	359	618
5	36	904	4	640	11	41	417	295	352
2	2	928	1225	242	404	1811	448	463	402
227	33	188	224	678	1465	2790	506	311	916
55	125	95	2	0	1008	1019	544	82	689
5	5	4	298	4	857	678	3	60	385
2	191	4	50	607	968	4	1160	85	288
479	4	21	554	54	52	519	80	1212	1347
78	2	4	234	398	777	1063	2007	39	426
161	330	296	23	58	333	791	8	1322	449
2	3	83	671	5	22	301	347	696	81
4	0	36	5	141	2	54	221	1377	706
4	42	254	167	146	288	63	727	301	1604
1	0	4	360	59	2330	5	415	648	516
155	25	256	393	279	1400	5	319	298	925
10	382	33	21	316	744	455	2172	812	202
5	76	2	296	2409	136	803	433	683	575
3	89	61	242	4	393	143	946	524	508
22	1339	25	51	216	556	357	1311	993	1358
21	151	0	91	242	602	532	1458	1090	1039
182	7	245	845	771	799	755	510	111	895
2	739	1550	357	2	637	34	587	683	262
11	3	414	2	941	67	595	461	1093	569
1	625	135	23	238	345	300	377	1951	216
98	23	719	743	6	604	755	142	999	1062
6	92	36	209	18	485	401	1070	984	497
111	9	6	203	11	138	618	1693	14	691
3	12	41	29	3	463	6	452	2	279
141	413	344	12	2303	1836	483	584	388	749
3	2	5	1033	700	229	87	731	92	538
1	131	90	395	31	1651	45	1369	215	1591
7	259	242	301	1	130	163	291	10	622
1	144	161	1472	149	147	90	671	746	613
2	451	15	161	222	496	51	786	327	1393
41	3	32	312	371	285	6	370	469	14
2	3	225	71	1	786	858	32	248	165
1	0	828	35	191	21	2	57	874	3741
11	134	174	2	84	2131	451	799	678	4
2	95	1729	620	406	300	122	3	0	836
1	75	1110	218	7	8	494	83	565	604
3	5	99	462	660	242	59	84	25	265
12	0	1	208	1501	278	44	43	603	487
138	2	48	459	1013	3	1146	282	676	472
155	3	23	166	29	345	406	268	55	617
8	162	210	29	7	34	343	372	96	11
0	4	375	20	442	553	1363	292	2772	384
1	1	114	59	48	416	11	1193	1555	2585
1	5	2	201	47	365	640	188	966	7
5	4	27	424	986	628	3022	175	858	39
310	305	267	3	443	29	482	529	677	337
4	1	447	28	252	353	193	934	672	3009
0	227	1	142	263	444	1175	2110	426	753
0	297	9	5	770	47	563	581	636	632
412	239	28	307	0	757	319	496	694	1069
0	21	341	92	3	169	409	707	1021	842
24	729	3	268	721	177	89	74	728	1111
29	0	77	109	49	1078	2	8	958	1519
246	285	0	253	20	269	683	17	323	264
120	4	246	407	9	3	290	535	475	421
220	29	51	224	611	493	1544	2313	456	332
2	30	255	568	82	362	223	973	1347	86
52	108	2	15	537	63	743	691	276	398
310	10	240	278	186	202	94	80	208	364
9	11	501	1455	607	418	9	937	469	359
5	113	589	250	0	1	69	70	922	70
20	0	13	1025	300	2	19	87	40	1561
14	3	7	331	1026	702	629	23	683	84
1	32	34	589	14	450	394	18	792	503
4	765	1	396	342	507	504	415	1062	391
128	187	404	16	246	4	4	333	1104	188
181	604	10	6	243	416	285	6	1138	370
195	48	309	572	363	516	579	1638	13	829
0	3	660	55	10	433	362	447	6	774
3	8	384	645	538	1795	219	373	1750	849
48	0	195	531	41	24	726	551	1058	930
5	204	6	686	34	3	665	9	709	120
65	191	42	306	329	763	196	239	813	328
14	131	18	128	2	209	444	563	268	614
0	282	346	34	95	480	84	100	62	648
1	49	527	297	317	519	599	212	201	890
98	36	29	422	595	257	0	513	1102	1513
1	3	692	544	1809	563	45	498	196	390
82	19	1	218	686	96	26	886	57	901
152	5	8	1	14	58	577	304	847	889
12	302	247	43	416	590	606	2385	928	489
8	357	824	20	216	300	967	500	413	286
2	210	2266	293	268	26	408	841	234	212
7	49	6	124	1157	13	3	939	479	1073
0	1	21	51	267	483	324	687	202	820
0	7	373	311	20	585	534	849	295	1985
5	30	20	7	438	327	178	562	1229	505
0	887	1	231	239	411	274	316	288	876
116	338	212	17	303	41	46	862	95	682
291	355	2	77	342	450	542	337	1284	785
14	6	34	319	0	1067	9	19	418	1404
11	96	157	493	683	70	1092	122	411	553
933	152	8	129	147	3	938	215	2312	842
9	11	256	368	36	208	278	129	244	730
15	672	13	454	555	5	533	118	6	921
0	402	0	0	356	6	553	1281	465	313
3	370	293	443	233	82	241	394	1084	359
19	317	43	104	16	25	959	750	47	869
10	43	19	1051	5	789	278	1281	667	152
223	4	194	345	12	81	133	834	914	243
1	2	76	128	327	1066	720	689	759	63
86	503	2	1	1570	481	41	1028	355	555
23	388	35	358	342	306	856	985	1427	644
134	7	184	77	59	58	402	999	807	89
124	14	366	145	249	532	736	282	28	238
79	511	36	91	98	592	395	391	48	2211
2	438	2	171	46	2	230	1885	689	540
23	187	1025	359	53	344	952	564	360	906
8	428	163	162	189	51	263	2	499	215
1	276	217	375	70	330	788	25	783	277
17	6	39	2	435	711	903	445	896	98
26	13	7	16	746	1726	250	883	615	514
239	88	22	5	239	191	293	223	1141	1373
157	5	137	0	70	48	9	2171	925	1256
0	3	13	118	490	82	23	244	338	907
224	4	581	535	38	406	879	298	1034	140
46	1	313	249	74	670	314	452	304	475
0	10	9	10	434	406	904	581	1	1108
228	32	216	3	4	468	884	839	559	1385
5	18	2	761	319	122	1159	8	201	490
15	3	276	28	516	318	625	1113	1438	373
0	662	83	645	34	368	800	90	632	783
9	12	279	168	591	374	556	3	271	13
39	10	1232	113	24	310	797	75	37	594
73	317	3	937	27	361	692	141	702	7
7	183	673	633	242	24	62	75	669	480
6	2	29	331	146	149	959	648	345	90
497	158	19	56	46	18	1486	777	946	3828
0	144	35	68	118	0	726	682	707	160
312	130	516	247	308	11	1539	564	394	344
162	280	25	68	6	16	34	78	1780	31
0	3	158	717	126	28	871	66	1622	116
66	194	68	0	348	369	60	6	1323	741
1	150	196	441	295	371	1092	174	453	73
498	123	18	515	368	1013	1585	18	1693	326
47	394	2	3	0	294	707	15	1427	628
0	2	7	318	2	845	25	2	433	473
519	17	24	174	446	212	1446	392	3	1062
4	12	1	504	783	967	246	841	1648	298
0	16	188	120	89	399	102	76	31	645
